business_name,industry,phone,complaint_count,top_keyword,yelp_url,sample_complaint
Integrity 1st Car Pros,Auto Repair,(469) 949-4979,1,never heard back,https://www.yelp.com/biz/integrity-1st-car-pros-dallas-3,"I rarely leave negative reviews, but I feel it's important to share my experience so others can make an informed decision.We brought our BMW to Integr"
Love Field Auto,Auto Repair,(214) 902-9996,1,hung up,https://www.yelp.com/biz/love-field-auto-dallas-2,Perhaps I contacted the wrong person the wrong day. I see all of the positive reviews and that wasn't my experience. The altenator in my cart died and
Skillman Automotive,Auto Repair,(214) 823-3544,1,refused to answer,https://www.yelp.com/biz/skillman-automotive-dallas,I was overcharged for a mass airflow sensor by$724. I was quoted double the average for labor charges. The mechanic caused additional damage while he 
Kwik Kar Auto Car Care Center,Auto Repair,(469) 206-2915,1,hung up,https://www.yelp.com/biz/kwik-kar-auto-car-care-center-dallas-3,DO NOT GO HERE I went to go get a simple oil change. They ended up putting 7 quarts overfilling my car the oil ended up leaking into my spark plugs wh
Dallas Auto Body Repair,Auto Repair,(972) 243-4009,1,never called,https://www.yelp.com/biz/dallas-auto-body-repair-dallas,I am very disappointed I went yesterday to ask for a quote for my car and they make me wait almost hour and I ask the guy how much longer I have to wa
MD Automotive,Auto Repair,(469) 222-0205,1,"didn't answer, disconnected",https://www.yelp.com/biz/md-automotive-austin-2,My car died and I did a quick search for mobile mechanics because I didn't want to deal with the hassle and cost of getting towed. I also didn't know 
Al's Automotive Mobile Service,Auto Repair,(210) 823-5529,1,never called,https://www.yelp.com/biz/als-automotive-mobile-service-san-antonio,My experience with this company services was awful..no care for customers..just about making money.Didn't even really check my car just assumed a prob
The Mobile Mechanic,Auto Repair,(210) 367-6811,1,no response,https://www.yelp.com/biz/the-mobile-mechanic-san-antonio,"Worse communication ever. Said he would be here at 9am, by 11am I messaged him with no response. Didnt returning calls or messages. Worse than the cab"
Allstar Mobile Auto Repair,Auto Repair,(210) 999-1788,1,failed to respond,https://www.yelp.com/biz/allstar-mobile-auto-repair-san-antonio,On 06/06/2019 my family vehicle failed to start after stalling in a parking garage on the UIW campus. The repair technician was contacted over the pho
Levi's Full Service Mobile Mechanics,Auto Repair,(210) 463-7978,1,"no answer, doesn't answer",https://www.yelp.com/biz/levis-full-service-mobile-mechanics-san-antonio-2,Never in my life have i had to deal with such a frustrating place to work with. I hope you all don't go through the anxiety i just did. The only reaso
Your Mechanic,Auto Repair,(210) 494-2502,1,never called,https://www.yelp.com/biz/your-mechanic-san-antonio,absolutely terrible! I had some flake named Travis that was supposed to come out and do a transmission service for me and not only did he not show up 
Bill's Half Price Auto Repair,Auto Repair,(817) 720-0099,1,disconnected,https://www.yelp.com/biz/bills-half-price-auto-repair-fort-worth-2,Do not go to Bills Half Price!!!  They will leave your car in disarray!!!!They left my car in parts.  Had it for almost 2 weeks.  Said they were done 
